year,round,driver_a,driver_b,predicted_prob_a,actual_a_won
2014,1,jenson-button,kevin-magnussen,0.5,0.0
2014,1,fernando-alonso,kimi-raikkonen,0.5,1.0
2014,1,nico-hulkenberg,sergio-perez,0.5,1.0
2014,1,daniil-kvyat,jean-eric-vergne,0.5,0.0
2014,1,adrian-sutil,esteban-gutierrez,0.5,1.0
2014,2,lewis-hamilton,nico-rosberg,0.5,1.0
2014,2,fernando-alonso,kimi-raikkonen,0.5344839447268315,1.0
2014,2,jenson-button,kevin-magnussen,0.46551605527316847,1.0
2014,2,felipe-massa,valtteri-bottas,0.5,1.0
2014,2,kamui-kobayashi,marcus-ericsson,0.5,1.0
2014,3,lewis-hamilton,nico-rosberg,0.5344839447268315,1.0
2014,3,nico-hulkenberg,sergio-perez,0.5344839447268315,0.0
2014,3,daniel-ricciardo,sebastian-vettel,0.5,1.0
2014,3,felipe-massa,valtteri-bottas,0.5344839447268315,1.0
2014,3,fernando-alonso,kimi-raikkonen,0.5663027072530126,1.0
2014,3,pastor-maldonado,romain-grosjean,0.5,0.0
2014,3,jules-bianchi,max-chilton,0.5,0.0
2014,4,lewis-hamilton,nico-rosberg,0.5663027072530126,1.0
2014,4,fernando-alonso,kimi-raikkonen,0.5954680308417515,1.0
2014,4,daniel-ricciardo,sebastian-vettel,0.5344839447268315,1.0
2014,4,nico-hulkenberg,sergio-perez,0.49761795150945937,1.0
2014,4,felipe-massa,valtteri-bottas,0.5663027072530126,0.0
2014,4,daniil-kvyat,jean-eric-vergne,0.46551605527316847,1.0
2014,4,jenson-button,kevin-magnussen,0.5023820484905406,1.0
2014,4,jules-bianchi,max-chilton,0.46551605527316847,1.0
2014,4,kamui-kobayashi,marcus-ericsson,0.5344839447268315,1.0
2014,5,lewis-hamilton,nico-rosberg,0.5954680308417515,1.0
2014,5,daniel-ricciardo,sebastian-vettel,0.5663027072530126,1.0
2014,5,felipe-massa,valtteri-bottas,0.527548753328657,0.0
2014,5,fernando-alonso,kimi-raikkonen,0.6220816646330228,1.0
2014,5,pastor-maldonado,romain-grosjean,0.46551605527316847,0.0
2014,5,nico-hulkenberg,sergio-perez,0.5322763112991972,0.0
2014,5,jenson-button,kevin-magnussen,0.5366902280547292,1.0
2014,5,adrian-sutil,esteban-gutierrez,0.5344839447268315,0.0
2014,5,jules-bianchi,max-chilton,0.5023820484905406,1.0
2014,6,lewis-hamilton,nico-rosberg,0.6220816646330228,0.0
2014,6,fernando-alonso,kimi-raikkonen,0.6463002853923677,1.0
2014,6,jenson-button,kevin-magnussen,0.5683303875590308,1.0
2014,6,jules-bianchi,max-chilton,0.5366902280547292,1.0
2014,6,kamui-kobayashi,marcus-ericsson,0.5663027072530126,0.0
2014,7,daniel-ricciardo,sebastian-vettel,0.5954680308417515,1.0
2014,7,jenson-button,kevin-magnussen,0.5973215270353247,1.0
2014,7,nico-hulkenberg,sergio-perez,0.4955530282311483,1.0
2014,7,fernando-alonso,kimi-raikkonen,0.6683089908105445,1.0
2014,7,felipe-massa,valtteri-bottas,0.4911358330911187,0.0
2014,7,adrian-sutil,esteban-gutierrez,0.49761795150945937,1.0
2014,8,lewis-hamilton,nico-rosberg,0.5809089258409305,0.0
2014,8,felipe-massa,valtteri-bottas,0.45731261279365276,0.0
2014,8,fernando-alonso,kimi-raikkonen,0.6883027456091153,1.0
2014,8,nico-hulkenberg,sergio-perez,0.530361473468427,0.0
2014,8,jenson-button,kevin-magnussen,0.623770059071214,0.0
2014,8,pastor-maldonado,romain-grosjean,0.43369729274698743,1.0
2014,8,adrian-sutil,esteban-gutierrez,0.5322763112991972,1.0
2014,8,jules-bianchi,max-chilton,0.5683303875590308,1.0
2014,8,kamui-kobayashi,marcus-ericsson,0.527548753328657,1.0
2014,9,daniel-ricciardo,sebastian-vettel,0.6220816646330228,1.0
2014,9,jenson-button,kevin-magnussen,0.5825444128321935,1.0
2014,9,nico-hulkenberg,sergio-perez,0.49376312411597306,1.0
2014,9,daniil-kvyat,jean-eric-vergne,0.5023820484905406,1.0
2014,9,pastor-maldonado,romain-grosjean,0.4724512466713429,0.0
2014,9,jules-bianchi,max-chilton,0.5973215270353247,1.0
2014,10,lewis-hamilton,nico-rosberg,0.5414036395320401,0.0
2014,10,daniel-ricciardo,sebastian-vettel,0.6463002853923677,0.0
2014,10,fernando-alonso,kimi-raikkonen,0.7064742810611758,1.0
2014,10,nico-hulkenberg,sergio-perez,0.5287008200903704,1.0
2014,10,jenson-button,kevin-magnussen,0.610300257189234,1.0
2014,10,jules-bianchi,max-chilton,0.623770059071214,1.0
2014,10,kamui-kobayashi,marcus-ericsson,0.5599230654329038,1.0
2014,11,daniel-ricciardo,sebastian-vettel,0.6044965795615064,1.0
2014,11,fernando-alonso,kimi-raikkonen,0.7230068034988139,1.0
2014,11,lewis-hamilton,nico-rosberg,0.5040997359766634,1.0
2014,11,felipe-massa,valtteri-bottas,0.4261622928591953,1.0
2014,11,daniil-kvyat,jean-eric-vergne,0.5366902280547292,0.0
2014,11,jenson-button,kevin-magnussen,0.6355850046952608,1.0
2014,11,jules-bianchi,max-chilton,0.6478352874115438,1.0
2014,12,daniel-ricciardo,sebastian-vettel,0.6303033040636098,1.0
2014,12,felipe-massa,valtteri-bottas,0.46531351656966863,0.0
2014,12,fernando-alonso,kimi-raikkonen,0.7380700691604779,0.0
2014,12,jenson-button,kevin-magnussen,0.6585735916853372,1.0
2014,12,nico-hulkenberg,sergio-perez,0.5609834755940647,0.0
2014,12,daniil-kvyat,jean-eric-vergne,0.4996830493090488,1.0
2014,12,adrian-sutil,esteban-gutierrez,0.5642728963782514,1.0
2014,12,jules-bianchi,max-chilton,0.669703465314654,0.0
2014,13,lewis-hamilton,nico-rosberg,0.5382803464495032,1.0
2014,13,felipe-massa,valtteri-bottas,0.4335111131545069,1.0
2014,13,daniel-ricciardo,sebastian-vettel,0.6537738182272889,1.0
2014,13,nico-hulkenberg,sergio-perez,0.522521982830964,0.0
2014,13,jenson-button,kevin-magnussen,0.6794583496873332,1.0
2014,13,daniil-kvyat,jean-eric-vergne,0.5341902797108639,1.0
