driver,race_elo_rating,race_elo_rank,race_elo_n,quali_elo_rating,quali_elo_rank,quali_elo_n,race_ridge_ms,race_ridge_rank,race_ridge_n,quali_ridge_ms,quali_ridge_rank,quali_ridge_n
adrian-sutil,1488.9,27,10,1507.5,29,18,-1437.6,23,1,69.4,49,18
alexander-albon,1620.2,5,90,1549.2,17,124,-5315.5,8,52,-331.0,2,127
alexander-rossi,1518.0,22,4,1528.0,22,4,,,,72.6,50,5
andre-lotterer,,,,1509.8,28,1,,,,-6.8,26,1
antonio-giovinazzi,1427.2,54,51,1460.1,42,59,8055.8,50,12,16.8,33,60
arvid-lindblad,1450.8,45,6,1434.8,49,8,6328.8,44,2,18.5,34,8
brendon-hartley,1466.6,38,14,1446.7,46,22,-2021.8,20,1,116.7,56,22
carlos-sainz-jr,1551.3,13,161,1696.3,3,234,-8065.0,6,105,-84.6,15,236
charles-leclerc,1641.5,4,142,1668.6,5,180,-9107.7,4,112,-292.5,3,180
daniel-ricciardo,1452.1,44,151,1456.6,43,203,-12933.1,3,95,-210.8,6,206
daniil-kvyat,1446.4,49,77,1398.3,53,110,-194.1,25,27,28.0,38,110
esteban-gutierrez,1518.4,21,23,1537.7,20,39,2627.6,33,3,-56.0,18,39
esteban-ocon,1476.2,31,143,1485.7,32,183,-3919.2,13,78,-1.1,27,183
felipe-massa,1523.9,19,59,1548.8,18,77,10124.1,55,33,114.7,55,78
felipe-nasr,1448.9,48,27,1433.4,50,37,-1819.2,21,4,-172.8,7,38
fernando-alonso,1646.2,2,145,1686.8,4,211,-8795.3,5,75,-88.4,14,211
franco-colapinto,1459.0,43,26,1496.5,31,35,7531.6,46,9,64.0,48,35
gabriel-bortoleto,1516.3,23,19,1530.4,21,31,-2895.2,18,9,55.1,45,31
george-russell,1646.2,3,130,1740.3,2,158,-3408.2,15,84,-288.8,4,158
guanyu-zhou,1433.2,52,50,1373.0,57,66,8583.6,51,16,92.4,53,66
isack-hadjar,1503.9,25,23,1552.7,16,29,448.1,29,12,-51.1,20,30
jack-aitken,,,,1485.3,33,1,,,,4.6,28,1
jack-doohan,1469.2,36,3,1473.8,39,7,7640.3,48,2,22.3,37,7
jean-eric-vergne,1512.1,24,11,1443.9,48,19,-1520.8,22,4,13.6,32,19
